name,age,salary
"Arina ",true,20
"Arina ",120,"  "
"Arina ",18,18 
"Arina ",20,1 8
"Arina ","  ",1000001
Që,18 ,-18
Që,1 8,1.8
Që,121,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
Që,17,true
Që,-18,1000000
Që,1.8,1
Që,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20
Që,true,"  "
Që,120,18 
Që,18,1 8
Që,20,1000001
Që,"  ",0
Që, 18,18
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1 8,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",121,true
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",17,1000000
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",-18,1
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1.8,20
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  "
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",true, 18
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,18 
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,1 8
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18,1000001
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",20,0
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ",18
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹", 18,-18
"QqËë12345 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,1.8
1.23,121,1000000
1.23,17,1000000
1.23,18,1
1.23,-18,20
1.23,1.8,"  "
1.23,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹", 18
1.23,true,18 
1.23,120,1 8
1.23,120,1000001
1.23,18,0
1.23,20,18
1.23,"  ",-18
1.23, 18,1.8
1.23,18 ,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
1.23,1 8,true
1.23,17,1
1.23,18,20
1.23,-18,"  "
1.23,1.8, 18
1.23,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 
1.23,true,1 8
1.23,120,1000001
1.23,120,0
1.23,20,-18
1.23,"  ",1.8
1.23, 18,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
1.23,18 ,true
1.23,1 8,1000000
1.23,121,1000000
true,18,"  "
true,-18, 18
true,1.8,18 
true,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1 8
true,true,1000001
true,120,0
true,18,-18
true,20,1.8
true,"  ","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
true, 18,true
true,18 ,1000000
true,1 8,1000000
true,121,1
true,17,20
<script>alert(«I hacked this!»)</script>,-18,18 
<script>alert(«I hacked this!»)</script>,1.8,1 8
<script>alert(«I hacked this!»)</script>,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1000001
<script>alert(«I hacked this!»)</script>,true,0
<script>alert(«I hacked this!»)</script>,120,18
<script>alert(«I hacked this!»)</script>,120,-18
<script>alert(«I hacked this!»)</script>,18,1.8
<script>alert(«I hacked this!»)</script>,20,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
<script>alert(«I hacked this!»)</script>,"  ",true
<script>alert(«I hacked this!»)</script>,18 ,1000000
<script>alert(«I hacked this!»)</script>,1 8,1
<script>alert(«I hacked this!»)</script>,121,20
<script>alert(«I hacked this!»)</script>,17,"  "
"DROP TABLE user;",1.8,1000001
"DROP TABLE user;","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",0
"DROP TABLE user;",true,18
"DROP TABLE user;",120,-18
"DROP TABLE user;",120,1.8
"DROP TABLE user;",18,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"DROP TABLE user;",20,true
"DROP TABLE user;","  ",1000000
"DROP TABLE user;",18 ,1
"DROP TABLE user;",1 8,20
"DROP TABLE user;",121,"  "
"DROP TABLE user;",17, 18
"DROP TABLE user;",18,18 
"DROP TABLE user;",-18,1 8
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",true,-18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",120,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹","  ",1000000
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",18 ,20
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1 8,"  "
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",121, 18
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",17,18 
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",-18,1000001
"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1.8,0
Që1,true,1.8
Që1,120,true
Që1,18,1000000
Që1,20,1000000
Që1,"  ",1
Që1,18 ,"  "
Që1,1 8, 18
Që1,121,18 
Që1,17,1 8
Që1,18,1000001
Që1,-18,0
Që1,1.8,18
Që1,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",-18
"   ",120,true
"   ",120,1000000
"   ",18,1000000
"   ",20,1
"   ","  ",20
"   ",18 , 18
"   ",1 8,18 
"   ",121,1 8
"   ",17,1000001
"   ",18,0
"   ",-18,18
"   ",1.8,-18
"   ","QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹",1.8
"   ",true,"QqËë1234 *?/\|<>,.()[]{};:'""!@#$%^&`~+-¹"
